 日期 ,时间(时:分:秒) ,纬度(度) ,纬度方向 ,经度(度) ,经度方向 ,航向(度),海拔(m) ,速度(km/h) ,卫星颗数(颗) 
2017年05月10日, 9:32:38, 4047.533, N, 11141.856, E, 253.6, 1108, 22.22, 05
2017年05月10日, 9:32:39, 4047.532, N, 11141.852, E, 254.3, 1106, 20.37, 05
2017年05月10日, 9:32:39, 4047.532, N, 11141.852, E, 254.3, 1106, 20.37, 05
2017年05月10日, 9:32:41, 4047.557, N, 11141.837, E, 252.0, 1181, 22.22, 06
2017年05月10日, 9:32:42, 4047.563, N, 11141.830, E, 255.4, 1199, 22.22, 06
2017年05月10日, 9:32:43, 4047.561, N, 11141.826, E, 257.0, 1195, 25.93, 06
2017年05月10日, 9:32:44, 4047.560, N, 11141.821, E, 258.9, 1194, 25.93, 06
2017年05月10日, 9:32:45, 4047.559, N, 11141.815, E, 260.2, 1192, 25.93, 06
2017年05月10日, 9:32:46, 4047.560, N, 11141.810, E, 259.4, 1194, 25.93, 06
2017年05月10日, 9:32:47, 4047.558, N, 11141.806, E, 252.7, 1195, 24.08, 06
2017年05月10日, 9:32:48, 4047.558, N, 11141.800, E, 257.7, 1196, 25.93, 06
2017年05月10日, 9:32:49, 4047.555, N, 11141.796, E, 259.9, 1184, 25.93, 07
2017年05月10日, 9:32:50, 4047.551, N, 11141.791, E, 258.7, 1174, 25.93, 07
2017年05月10日, 9:32:51, 4047.549, N, 11141.787, E, 254.0, 1167, 22.22, 07
2017年05月10日, 9:32:52, 4047.547, N, 11141.783, E, 254.8, 1162, 20.37, 08
2017年05月10日, 9:32:53, 4047.548, N, 11141.779, E, 259.7, 1159, 18.52, 08
2017年05月10日, 9:32:54, 4047.547, N, 11141.776, E, 273.7, 1151, 16.67, 08
2017年05月10日, 9:32:55, 4047.547, N, 11141.771, E, 298.6, 1147, 16.67, 08
2017年05月10日, 9:32:56, 4047.549, N, 11141.769, E, 327.2, 1147, 20.37, 08
2017年05月10日, 9:32:57, 4047.552, N, 11141.767, E, 338.5, 1147, 24.08, 08
2017年05月10日, 9:32:58, 4047.556, N, 11141.766, E, 341.1, 1146, 29.63, 08
2017年05月10日, 9:32:59, 4047.560, N, 11141.764, E, 340.4, 1145, 33.34, 08
2017年05月10日, 9:33:0, 4047.565, N, 11141.762, E, 339.9, 1144, 37.04, 08
2017年05月10日, 9:33:1, 4047.571, N, 11141.759, E, 339.6, 1144, 40.74, 08
2017年05月10日, 9:33:2, 4047.577, N, 11141.757, E, 339.2, 1143, 40.74, 08
2017年05月10日, 9:33:3, 4047.583, N, 11141.754, E, 338.7, 1142, 42.60, 08
2017年05月10日, 9:33:4, 4047.589, N, 11141.751, E, 339.4, 1142, 40.74, 08
2017年05月10日, 9:33:5, 4047.595, N, 11141.748, E, 339.1, 1142, 40.74, 08
2017年05月10日, 9:33:6, 4047.601, N, 11141.746, E, 339.9, 1142, 38.89, 08
2017年05月10日, 9:33:7, 4047.607, N, 11141.743, E, 340.3, 1142, 38.89, 08
2017年05月10日, 9:33:8, 4047.613, N, 11141.741, E, 341.2, 1141, 37.04, 08
